[2026-01-13 19:12:00] STATUS: 1 | MOTIV: OPTIMIZARE FLUX: Trafic N-S (20) dominant față de E-V (20). Diferență: +0 vehicule. | URGENȚĂ: False
[2026-01-13 19:12:09] STATUS: 1 | MOTIV: OPTIMIZARE FLUX: Trafic N-S (20) dominant față de E-V (20). Diferență: +0 vehicule. | URGENȚĂ: False
[2026-01-13 19:12:12] STATUS: 1 | MOTIV: OPTIMIZARE FLUX: Trafic N-S (20) dominant față de E-V (20). Diferență: +0 vehicule. | URGENȚĂ: False
[2026-01-13 19:12:15] STATUS: 1 | MOTIV: OPTIMIZARE FLUX: Trafic N-S (20) dominant față de E-V (69). Diferență: +-49 vehicule. | URGENȚĂ: False
[2026-01-13 19:12:16] STATUS: 2 | MOTIV: OPTIMIZARE FLUX: Trafic E-V (93) dominant față de N-S (20). Diferență: +73 vehicule. | URGENȚĂ: False
[2026-01-13 19:12:19] STATUS: 2 | MOTIV: OPTIMIZARE FLUX: Trafic E-V (93) dominant față de N-S (20). Diferență: +73 vehicule. | URGENȚĂ: False
[2026-01-13 19:12:20] STATUS: 2 | MOTIV: OPTIMIZARE FLUX: Trafic E-V (70) dominant față de N-S (20). Diferență: +50 vehicule. | URGENȚĂ: False
[2026-01-13 19:12:21] STATUS: 1 | MOTIV: OPTIMIZARE FLUX: Trafic N-S (20) dominant față de E-V (27). Diferență: +-7 vehicule. | URGENȚĂ: False
[2026-01-13 19:13:32] STATUS: 0 | MOTIV: ⚠️ PROTOCOL PRIORITATE: Detectat vehicul intervenție. | URGENȚĂ: True
[2026-01-13 19:13:43] STATUS: 1 | MOTIV: OPTIMIZARE FLUX: Trafic N-S (83) dominant față de E-V (66). Diferență: +17 vehicule. | URGENȚĂ: False
[2026-01-13 19:13:47] STATUS: 1 | MOTIV: OPTIMIZARE FLUX: Trafic N-S (74) dominant față de E-V (18). Diferență: +56 vehicule. | URGENȚĂ: False
[2026-01-13 19:13:50] STATUS: 0 | MOTIV: ⚠️ PROTOCOL PRIORITATE: Detectat vehicul intervenție. | URGENȚĂ: True
[2026-01-13 19:13:53] STATUS: 2 | MOTIV: OPTIMIZARE FLUX: Trafic E-V (89) dominant față de N-S (61). Diferență: +28 vehicule. | URGENȚĂ: False
[2026-01-13 19:13:57] STATUS: 1 | MOTIV: OPTIMIZARE FLUX: Trafic N-S (54) dominant față de E-V (5). Diferență: +49 vehicule. | URGENȚĂ: False
[2026-01-13 19:14:00] STATUS: 2 | MOTIV: OPTIMIZARE FLUX: Trafic E-V (27) dominant față de N-S (26). Diferență: +1 vehicule. | URGENȚĂ: False
[2026-01-13 19:14:03] STATUS: 1 | MOTIV: OPTIMIZARE FLUX: Trafic N-S (72) dominant față de E-V (41). Diferență: +31 vehicule. | URGENȚĂ: False
