timestamp,auto_N_S,auto_S_N,auto_E_V,auto_V_E,pietoni_N,pietoni_S,pietoni_E,pietoni_V,sirena_activa,faza_decisa
2026-02-11T15:59:01.012516,38,11,8,4,11,10,18,18,0,1
2026-02-11T15:59:01.012525,28,27,3,43,11,19,3,17,0,2
2026-02-11T15:59:01.012527,14,5,14,38,9,4,13,7,0,2
2026-02-11T15:59:01.012528,42,19,47,34,7,3,5,17,0,2
2026-02-11T15:59:01.012529,7,4,7,38,19,11,12,15,0,2
2026-02-11T15:59:01.012530,20,22,48,43,18,11,6,10,1,0
2026-02-11T15:59:01.012532,38,8,0,14,6,3,11,16,0,1
2026-02-11T15:59:01.012533,18,28,6,18,13,2,19,17,0,2
2026-02-11T15:59:01.012534,22,15,30,29,3,1,13,18,0,2
2026-02-11T15:59:01.012535,10,45,17,37,0,3,12,17,0,2
2026-02-11T15:59:01.012536,10,21,11,31,7,3,10,13,0,2
2026-02-11T15:59:01.012537,23,7,47,39,4,6,5,16,1,0
2026-02-11T15:59:01.012538,35,19,29,28,7,1,6,7,0,2
2026-02-11T15:59:01.012538,39,13,32,5,7,10,9,14,0,1
2026-02-11T15:59:01.012539,23,38,46,25,6,4,14,16,1,0
2026-02-11T15:59:01.012540,2,36,6,26,18,12,8,10,0,1
2026-02-11T15:59:01.012541,21,49,27,34,3,3,2,5,0,1
2026-02-11T15:59:01.012542,1,33,48,27,19,8,4,18,0,2
2026-02-11T15:59:01.012543,23,10,2,4,5,6,9,15,0,1
2026-02-11T15:59:01.012543,43,39,42,40,11,12,14,11,0,2
2026-02-11T15:59:01.012544,29,32,5,47,17,9,2,14,0,2
2026-02-11T15:59:01.012545,37,30,30,15,11,6,17,10,0,1
2026-02-11T15:59:01.012546,1,43,37,40,17,17,2,6,1,0
2026-02-11T15:59:01.012547,20,33,14,17,2,17,6,9,0,1
2026-02-11T15:59:01.012547,32,49,6,12,9,1,13,18,0,1
2026-02-11T15:59:01.012548,11,6,42,42,6,0,15,4,1,0
2026-02-11T15:59:01.012549,21,48,29,24,2,12,18,16,0,2
2026-02-11T15:59:01.012550,43,22,26,9,18,1,3,18,0,1
2026-02-11T15:59:01.012551,24,45,16,28,12,3,2,3,0,1
2026-02-11T15:59:01.012552,48,6,17,9,3,8,2,0,0,1
2026-02-11T15:59:01.012552,26,24,21,5,9,7,8,13,0,1
2026-02-11T15:59:01.012553,41,2,25,15,5,17,3,16,0,1
2026-02-11T15:59:01.012554,27,37,26,24,0,15,18,13,0,2
2026-02-11T15:59:01.012555,15,19,39,43,5,3,10,5,0,2
2026-02-11T15:59:01.012556,14,33,23,3,7,3,14,4,0,1
2026-02-11T15:59:01.012557,46,48,7,36,14,17,3,2,0,1
2026-02-11T15:59:01.012557,43,43,20,33,7,1,7,14,0,1
2026-02-11T15:59:01.012558,2,43,28,18,5,10,1,6,0,1
2026-02-11T15:59:01.012559,36,29,42,32,18,19,17,10,0,2
2026-02-11T15:59:01.012560,6,16,20,3,13,3,2,9,0,1
2026-02-11T15:59:01.012560,20,9,2,43,1,13,2,13,0,2
2026-02-11T15:59:01.012561,8,34,30,33,6,16,18,2,0,2
2026-02-11T15:59:01.012562,38,19,26,11,7,7,11,13,0,1
2026-02-11T15:59:01.012563,17,17,45,30,9,0,13,16,0,2
2026-02-11T15:59:01.012564,3,44,26,15,12,18,12,3,0,1
2026-02-11T15:59:01.012565,24,43,8,1,19,18,15,5,0,1
2026-02-11T15:59:01.012565,13,26,32,48,0,6,16,19,0,2
2026-02-11T15:59:01.012566,49,48,32,1,8,0,17,4,0,1
2026-02-11T15:59:01.012567,8,35,25,35,9,0,12,9,0,2
2026-02-11T15:59:01.012568,25,22,27,5,19,9,12,6,0,1
2026-02-11T15:59:01.012569,1,31,43,22,1,12,7,14,0,2
2026-02-11T15:59:01.012569,19,9,42,38,19,4,6,17,0,2
2026-02-11T15:59:01.012570,27,10,30,46,10,11,7,0,0,2
2026-02-11T15:59:01.012572,46,37,0,43,4,2,16,3,0,2
2026-02-11T15:59:01.012573,6,5,19,36,17,18,0,10,0,2
2026-02-11T15:59:01.012573,43,40,11,45,6,3,2,9,0,2
2026-02-11T15:59:01.012574,7,46,16,15,2,14,3,12,0,1
2026-02-11T15:59:01.012576,46,33,14,42,15,12,18,18,0,2
2026-02-11T15:59:01.012577,34,35,33,43,14,10,1,9,0,2
2026-02-11T15:59:01.012578,13,36,49,18,7,1,10,17,0,2
2026-02-11T15:59:01.012579,16,16,15,48,19,8,10,8,0,2
2026-02-11T15:59:01.012580,35,39,3,23,4,11,18,8,0,1
2026-02-11T15:59:01.012580,49,39,7,26,2,3,1,19,0,1
2026-02-11T15:59:01.012581,39,11,33,6,4,18,4,11,0,1
2026-02-11T15:59:01.012582,3,20,45,29,8,9,18,13,0,2
2026-02-11T15:59:01.012584,1,39,24,40,15,10,8,1,0,1
2026-02-11T15:59:01.012585,5,18,14,13,13,6,6,9,0,1
2026-02-11T15:59:01.012586,41,2,27,43,17,12,11,17,1,0
2026-02-11T15:59:01.012587,3,17,8,14,6,8,18,5,0,2
2026-02-11T15:59:01.012587,28,18,1,11,14,11,17,1,0,1
2026-02-11T15:59:01.012588,17,46,16,28,7,1,17,16,0,2
2026-02-11T15:59:01.012589,25,5,9,22,2,0,8,17,0,2
2026-02-11T15:59:01.012590,43,15,8,12,10,6,1,17,0,1
2026-02-11T15:59:01.012590,33,7,30,8,19,0,1,13,0,1
2026-02-11T15:59:01.012591,9,47,1,23,17,15,14,10,0,1
2026-02-11T15:59:01.012592,35,17,23,38,14,3,15,18,0,2
2026-02-11T15:59:01.012593,13,47,18,29,9,7,13,15,0,2
2026-02-11T15:59:01.012595,30,42,16,0,2,16,18,7,0,1
2026-02-11T15:59:01.012595,47,38,42,9,14,18,14,17,0,2
2026-02-11T15:59:01.012596,14,48,48,37,5,3,2,2,0,2
2026-02-11T15:59:01.012597,7,48,9,46,10,3,5,3,0,2
2026-02-11T15:59:01.012598,13,11,49,14,10,7,5,4,0,2
2026-02-11T15:59:01.012599,22,44,27,8,18,9,19,3,0,1
2026-02-11T15:59:01.012599,39,9,37,12,2,15,8,6,0,1
2026-02-11T15:59:01.012600,20,6,47,22,12,18,10,19,1,0
2026-02-11T15:59:01.012601,15,45,27,32,7,0,3,5,0,2
2026-02-11T15:59:01.012602,44,0,49,8,10,4,13,16,1,0
2026-02-11T15:59:01.012602,17,48,49,2,10,1,12,13,0,2
2026-02-11T15:59:01.012603,46,35,0,29,12,15,14,4,0,1
2026-02-11T15:59:01.012604,23,20,2,8,2,12,16,14,0,1
2026-02-11T15:59:01.012605,25,36,14,24,5,5,7,9,0,1
2026-02-11T15:59:01.012606,24,23,9,46,9,3,10,1,1,0
2026-02-11T15:59:01.012606,44,24,20,23,18,6,10,11,1,0
2026-02-11T15:59:01.012608,40,6,36,31,11,1,15,10,0,2
2026-02-11T15:59:01.012609,28,41,14,6,13,9,2,6,0,1
2026-02-11T15:59:01.012610,14,16,22,35,10,13,14,6,1,0
